medcodeid,term,adrenal_disease
1229746019,iatrogenic cushing's syndrome,1
1232973019,secondary hyperaldosteronism,1
12481981000006100,acute adrenal insufficiency,1
12482011000006100,addisonian crisis,1
12718481000006100,adrenal gland disorder nos,1
146241012,hyperaldosteronism,1
1491626013,corticoadrenal insufficiency,1
178805019,adrenal hypofunction,1
223491000000112,addison's anaemia,1
253565011,o/e - cushingoid facies,1
2897121000006110,severe adrenal insufficiency,1
292758015,idiopathic cushing's syndrome,1
292769017,cushing's syndrome nos,1
292775014,primary hyperaldosteronism,1
292776010,conn's syndrome,1
292779015,other specified hyperaldosteronism,1
292780017,hyperaldosteronism nos,1
292839016,other specified adrenal disorders,1
292840019,other specified adrenal disorder nos,1
292841015,adrenal gland disorder nos,1
293770010,[x]other cushing's syndrome,1
293772019,[x]other hyperaldosteronism,1
2985771000006110,adrenal disorder,1
356317017,adrenal insufficiency nec,1
398809019,corticoadrenal insufficiency nos,1
41676015,adrenal crisis,1
41677012,addisonian crisis,1
460981000006112,addisonian crisis,1
482035011,acute adrenal insufficiency,1
485624014,addison's disease,1
494791011,cushing's syndrome,1
495316011,adrenal haemorrhage,1
5111171000006110,secondary hypoadrenalism,1
5112391000006110,hypoadrenalism,1
6250371000006110,addison disease,1
6383841000006110,primary hypoadrenalism,1
7622971000006110,pseudoprimary hyperaldosteronism,1
881581000006118,other adrenal disorders,1
91436017,adrenal medullary insufficiency,1
12482311000006100,adrenal crisis,1
146238015,aldosteronism,1
253564010,o/e - steroid facies,1
2897161000006110,adrenocortical crisis,1
292837019,other adrenal hypofunction,1
292838012,other adrenal hypofunction nos,1
293775017,[x]other specified disorders of adrenal gland,1
2985761000006110,adrenal disease,1
3165451000006110,iatrogenic cushing's disease,1
3165461000006110,iatrogenic syndrome of excess cortisol,1
3165491000006110,iatrogenic cushing disease,1
3264191000006110,hypercortisolism,1
3264201000006110,cushing's syndrome iii,1
3264211000006110,overproduction of cortisol,1
3264221000006110,suprarenogenic syndrome,1
3264231000006110,hypercorticism,1
3264241000006110,itsenko-cushing syndrome,1
3264251000006110,itsenko disease,1
3294631000006110,adrenal hemorrhage,1
3392681000006110,adrenomedullary hypofunction,1
356242012,acth deficiency,1
3602931000006110,secondary aldosteronism,1
378031000006114,[x]disorders/adrenal glands in diseases ce,1
3862321000006110,"polyglandular autoimmune syndrome, type 2",1
3862331000006110,aps type 2,1
3862351000006110,type 2 polyendocrine autoimmunity syndrome,1
3862361000006110,schmidt syndrome,1
3862381000006110,primary hypothyroidism and adrenocortical insufficiency,1
3862391000006110,polyglandular autoimmune syndrome - type ii,1
3862411000006110,pga - polyglandular autoimmune syndrome - type ii,1
417461000006112,[x]other+unspecified primary adrenocortical insufficiency,1
4550411000006110,on examination - steroid facies,1
4758671000006110,idiopathic cushing syndrome,1
4758761000006110,primary aldosteronism,1
505750011,schmidt's syndrome,1
5111181000006110,adrenocorticotropic hormone (acth) deficiency,1
5111191000006110,adrenocorticotropic hormone deficiency,1
5112201000006110,adrenocortical hemorrhage,1
624291000006115,disorders of adrenal glands,1
6457681000006110,adrenal cortical hypofunction,1
6457691000006110,adrenocortical hypofunction,1
6457701000006110,hypoadrenocorticism,1
7622991000006110,pseudoaldosteronism,1
