medcodeid,readcode,readterm,anaemia
255515017,2C2..00,O/E - anaemia,1
255526011,2C2Z.00,O/E - anaemia NOS,1
291252015,B937000,"Refractory anaemia without sideroblasts, so stated",1
2535668013,B937100,Refractory anaemia with sideroblasts,1
186311000006115,B937200,Refractory anaemia with excess of blasts,1
179151000006119,B937300,Refractory anaemia with excess of blasts with transformation,1
1815751000006110,B937600,Refractory anaemia without ring sideroblasts,1
1815761000006110,B937700,Refractory anaemia with ring sideroblasts,1
2137201000000110,B937800,Refractory anaemia with multilineage dysplasia,1
179181000006110,B937X00,"Refractory anaemia, unspecified",1
1216006019,BBmA.00,[M] Refractory anaemia with sideroblasts,1
315831000006119,BBmB.00,[M]Refractory anaemia+excess of blasts with transformation,1
1216009014,BBmL.00,[M] Refractory anaemia with excess of blasts,1
399193019,D0...00,Deficiency anaemias,1
507619019,D0...11,Asiderotic anaemia,1
507621012,D0...12,Sideropenic anaemia,1
745851000006117,D00..00,Iron deficiency anaemias,1
789001000006115,D00..11,Hypochromic - microcytic anaemia,1
703501000006114,D00..12,Microcytic - hypochromic anaemia,1
745811000006118,D000.00,Iron deficiency anaemia due to chronic blood loss,1
351092018,D000.11,Normocytic anaemia due to chronic blood loss,1
745801000006116,D000.12,Iron deficiency anaemia due to blood loss,1
293864013,D001.00,Iron deficiency anaemia due to dietary causes,1
399195014,D00y.00,Other specified iron deficiency anaemia,1
493975011,D00y100,Microcytic hypochromic anaemia,1
293877016,D00yz00,Other specified iron deficiency anaemia NOS,1
293880015,D00z.00,Unspecified iron deficiency anaemia,1
504528016,D00z000,Achlorhydric anaemia,1
293884012,D00z100,Chlorotic anaemia,1
293885013,D00z200,Idiopathic hypochromic anaemia,1
293888010,D00zz00,Iron deficiency anaemia NOS,1
399196010,D01..00,Other deficiency anaemias,1
496576014,D01..11,Megaloblastic anaemia,1
505888017,D010.00,Pernicious anaemia,1
223491000000112,D010.11,Addison's anaemia,1
351107016,D010.12,Biermer's congenital pernicious anaemia,1
399198011,D011.00,Other vitamin B12 deficiency anaemias,1
62261000006118,D011.11,Vitamin B12 deficiency anaemia,1
399201018,D011000,Vitamin B12 deficiency anaemia due to dietary causes,1
351104011,D011013,Vegan's anaemia,1
62031000006117,D011100,Vit B12 defic anaemia due to malabsorption with proteinuria,1
62281000006111,D011X00,"Vitamin B12 deficiency anaemia, unspecified",1
293924010,D011z00,Other vitamin B12 deficiency anaemia NOS,1
763221000006115,D012.00,Folate-deficiency anaemia,1
506651010,D012.11,Folic acid deficiency anaemia,1
763231000006117,D012100,Folate-deficiency anaemia due to dietary causes,1
351101015,D012112,Megaloblastic anaemia due to dietary causes,1
763271000006119,D012200,"Folate-deficiency anaemia, drug induced",1
763251000006112,D012300,Folate-deficiency anaemia due to malabsorption,1
763241000006110,D012400,Folate-deficiency anaemia due to liver disorders,1
731981000006116,D012500,Macrocytic anaemia unspecified cause,1
763261000006114,D012z00,Folate-deficiency anaemia NOS,1
293946019,D013.00,Other specified megaloblastic anaemia NEC,1
293948018,D013000,Combined B12 and folate deficiency anaemia,1
293949014,D013z00,Other specified megaloblastic anaemia NEC NOS,1
293952018,D014.00,Protein-deficiency anaemia,1
479141000006117,D014000,Amino-acid deficiency anaemia,1
293956015,D014z00,Protein-deficiency anaemia NOS,1
293959010,D01y.00,Other specified nutritional deficiency anaemia,1
293961018,D01y000,Vitamin C deficiency anaemia,1
293965010,D01y100,Vitamin E deficiency anaemia,1
293966011,D01yy00,Other specified other nutritional deficiency anaemia,1
293969016,D01yz00,Other specified nutritional deficiency anaemia NOS,1
399205010,D01z.00,Other deficiency anaemias NOS,1
351100019,D01z.11,Megaloblastic anaemia NOS,1
293977017,D01z000,[X]Megaloblastic anaemia NOS,1
293978010,D0y..00,Other specified deficiency anaemias,1
293981017,D0z..00,Deficiency anaemias NOS,1
813861000006112,D1...00,Haemolytic anaemias,1
821381000006117,D10..00,Hereditary haemolytic anaemias,1
293986010,D102.00,Haemolytic anaemia due to glutathione metabolism disorder,1
499268014,D102000,Glucose-6-phosphate dehydrogenase deficiency anaemia,1
477268010,D102200,Drug-induced enzyme deficiency anaemia,1
293999013,D103000,Haemolytic anaemia due to hexokinase deficiency,1
294000010,D103100,Haemolytic anaemia due to pyruvate kinase deficiency,1
294004018,D103300,Anaemia due to disorders of nucleotide metabolism,1
294007013,D103z00,Enzyme deficiency haemolytic anaemia NOS,1
711521000006117,D104.12,Mediterranean anaemia,1
