medcode,medcodeid,readcode,readcode5B,snomedctconceptid,snomedctdescriptionid,term,asthma
5867,655601000006113,173A.00,173A.,31387002,52467014,Exercise induced asthma,1
22752,95786019,173c.00,173c.,57607007,95786019,Occupational asthma,1
73522,983771000006118,173d.00,173d.,57607007,95786019,Work aggravated asthma,1
41017,929091000006111,1780,1780,407674008,2159273015,Aspirin induced asthma,1
102341,1739151000000110,1781,1781,3.40911E+14,1.73915E+15,Asthma trigger - pollen,1
103955,1739161000000110,1782,1782,3.40921E+14,1.73916E+15,Asthma trigger - tobacco smoke,1
102952,1739171000000110,1783,1783,3.40931E+14,1.73917E+15,Asthma trigger - warm air,1
103952,636271000000117,1784,1784,2.01211E+14,3.06001E+14,Asthma trigger - emotion,1
103945,636251000000114,1785,1785,2.01201E+14,3.05981E+14,Asthma trigger - damp,1
103321,305611000000115,1786,1786,2.01051E+14,6.36211E+14,Asthma trigger - animals,1
102301,636311000000117,1787,1787,2.01041E+14,3.05591E+14,Asthma trigger - seasonal,1
103813,636231000000119,1788,1788,2.01191E+14,3.05961E+14,Asthma trigger - cold air,1
102449,636291000000118,1789,1789,2.01031E+14,3.05571E+14,Asthma trigger - respiratory infection,1
103944,1739131000000110,178A.00,178A.,3.40891E+14,1.73913E+15,Asthma trigger - airborne dust,1
102871,1739141000000110,178B.00,178B.,3.40901E+14,1.73914E+15,Asthma trigger - exercise,1
11370,1780388018,1O2..00,1O2..,401193004,1780388018,Asthma confirmed,1
93736,536221000000110,388t.00,388t.,3.02331E+14,5.36221E+14,Royal College of Physicians asthma assessment,1
103631,1766051000006110,388t000,388t0,448003001,2900370011,Royal College Physician asthma assessment 3 question score,1
98185,1118291000000110,38DL.00,38DL.,443117005,2839948011,Asthma control test,1
100397,1139011000000110,38DT.00,38DT.,763077003,3637798014,Asthma control questionnaire,1
102209,1139051000000110,38DV.00,38DV.,763695004,3643315013,Mini asthma quality of life questionnaire,1
105674,2117771000000110,661M100,661M1,8.11921E+14,2.11777E+15,Asthma self-management plan agreed,1
105420,2115631000000110,661N100,661N1,8.10901E+14,2.11563E+15,Asthma self-management plan review,1
81,411877015,663..11,663..,275908000,411877015,Asthma monitoring,1
7416,264540018,663N.00,663N.,170631002,264540018,Asthma disturbing sleep,1
30815,264541019,663N000,663N0,170632009,264541019,Asthma causing night waking,1
38146,264542014,663N100,663N1,170633004,264542014,Asthma disturbs sleep weekly,1
13175,264543016,663N200,663N2,170634005,264543016,Asthma disturbs sleep frequently,1
38143,264545011,663O000,663O0,170636007,264545011,Asthma never disturbs sleep,1
7191,264546012,663P.00,663P.,170637003,264546012,Asthma limiting activities,1
102713,1722581000000110,663P000,663P0,7.71981E+14,1.72258E+15,Asthma limits activities 1 to 2 times per month,1
102888,1722651000000110,663P100,663P1,7.72011E+14,1.72265E+15,Asthma limits activities 1 to 2 times per week,1
103998,1722731000000110,663P200,663P2,7.72051E+14,1.72273E+15,Asthma limits activities most days,1
7378,264550017,663U.00,663U.,406162001,2157868010,Asthma management plan given,1
13064,264551018,663V.00,663V.,170642006,264551018,Asthma severity,1
3458,1208971012,663V000,663V0,370220003,1208971012,Occasional asthma,1
3018,1208969012,663V100,663V1,370218001,1208969012,Mild asthma,1
13065,1208970013,663V200,663V2,370219009,1208970013,Moderate asthma,1
3366,1208972017,663V300,663V3,370221004,1208972017,Severe asthma,1
24479,264565016,663d.00,663d.,708358003,3033971010,Emergency asthma admission since last appointment,1
25181,264566015,663e.00,663e.,170655007,264566015,Asthma restricts exercise,1
26861,264567012,6.63E+02,6.63E+02,170656008,264567012,Asthma sometimes restricts exercise,1
26506,264568019,6.63E+102,6.63E+03,170657004,264568019,Asthma severely restricts exercise,1
26504,264569010,663f.00,663f.,170658009,264569010,Asthma never restricts exercise,1
10487,456163018,663j.00,663j.,312453004,456163018,Asthma - currently active,1
47337,216186011,663m.00,663m.,708373002,3034176014,Asthma accident and emergency attendance since last visit,1
19520,1208977011,663n.00,663n.,370226009,1208977011,Asthma treatment compliance satisfactory,1
19519,1208976019,663p.00,663p.,370225008,1208976019,Asthma treatment compliance unsatisfactory,1
42824,1212342016,663q.00,663q.,373899003,1212342016,Asthma daytime symptoms,1
39570,1208957016,663r.00,663r.,370205009,1208957016,Asthma causes night symptoms 1 to 2 times per month,1
26501,1208960011,663s.00,663s.,370208006,1208960011,Asthma never causes daytime symptoms,1
