medcodeid,readcode,readterm,htn
264472017,6628,Poor hypertension control,1
264485019,662F.00,Hypertension treatm. started,1
264486018,662G.00,Hypertensive treatm.changed,1
443764015,662O.00,On treatment for hypertension,1
1780318013,662b.00,Moderate hypertension control,1
451424017,8B26.00,Antihypertensive therapy,1
2159168015,8BL0.00,Patient on maximal tolerated antihypertensive therapy,1
64168014,G2...00,Hypertensive disease,1
523801000006119,G2...11,BP - hypertensive disease,1
99042012,G20..00,Essential hypertension,1
64172013,G20..11,High blood pressure,1
131046010,G200.00,Malignant essential hypertension,1
3135013,G201.00,Benign essential hypertension,1
93494011,G202.00,Systolic hypertension,1
80224019,G203.00,Diastolic hypertension,1
395751018,G20z.00,Essential hypertension NOS,1
790121000006116,G20z.11,Hypertension NOS,1
107545013,G21..00,Hypertensive heart disease,1
741661000006118,G21z.00,Hypertensive heart disease NOS,1
741691000006114,G21z000,Hypertensive heart disease NOS without CCF,1
411508017,G21z011,Cardiomegaly - hypertensive,1
741681000006111,G21z100,Hypertensive heart disease NOS with CCF,1
299655012,G21zz00,Hypertensive heart disease NOS,1
64282015,G22..00,Hypertensive renal disease,1
53452019,G24..00,Secondary hypertension,1
151161000006115,G240.00,Secondary malignant hypertension,1
299677011,G240z00,Secondary malignant hypertension NOS,1
299678018,G241.00,Secondary benign hypertension,1
299680012,G241z00,Secondary benign hypertension NOS,1
158241000006117,G24z.00,Secondary hypertension NOS,1
299684015,G24z100,Hypertension secondary to drug,1
299682016,G24zz00,Secondary hypertension NOS,1
1846941000006110,G25..00,Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011),1
2193031000000110,G25..11,Stage 1 hypertension,1
1908711000006110,G250.00,Stage 1 hyperten (NICE 2011) without evidnce end organ damge,1
1908721000006110,G251.00,Stage 1 hyperten (NICE 2011) with evidnce end organ damge,1
1846961000006110,G26..00,Severe hypertension (Nat Inst for Health Clinical Ex 2011),1
2193021000000110,G26..11,Severe hypertension,1
1846991000006110,G28..00,Stage 2 hypertension (NICE - Nat Ins for Hth Clin Excl 2011),1
299687010,G2z..00,Hypertensive disease NOS,1
300869017,Gyu2.00,[X]Hypertensive diseases,1
300870016,Gyu2000,[X]Other secondary hypertension,1
