medcodeid,term,inc_hf
18472010,acute congestive heart failure,1
94251011,acute heart failure,1
139482012,cardiac failure,1
300190010,acute left ventricular failure,1
411506018,impaired left ventricular function,1
1489358014,left ventricular diastolic dysfunction,1
2675255018,congestive heart failure due to valvular disease,1
2694523019,left ventricular cardiac dysfunction,1
1647701000000110,heart failure with normal ejection fraction,1
1991651000006110,severe left ventricular systolic dysfunction,1
2227501000000110,heart failure with preserved ejection fraction,1
70653017,congestive heart failure,1
3182561000006110,chf - congestive heart failure,1
3886041000006110,left heart failure,1
3182541000006110,congestive cardiac failure,1
3886071000006110,lvf - left ventricular failure,1
4005301000006110,biventricular failure,1
12490061000006100,admit heart failure emergency,1
3182551000006110,ccf - congestive cardiac failure,1
7321121000006110,heart failure with preserved ejection fraction,1
493287011,congestive cardiac failure,1
510016018,biventricular failure,1
1661371000000110,hfnef - heart failure with normal ejection fraction,1
784191000006110,impaired left ventricular function,1
741701000006114,hypertensive heart&renal dis wth (congestive) heart failure,1
395772015,heart failure nos,1
1488804017,heart failure confirmed,1
141306010,left ventricular failure,1
147247018,chronic congestive heart failure,1
3886061000006110,left-sided heart failure,1
3868341000006110,hf - heart failure,1
223981000000118,cardiac failure nos,1
905391000006119,[rfc] cardiac failure,1
2159197017,echocardiogram shows left ventricular systolic dysfunction,1
2159198010,echocardiogram shows left ventricular diastolic dysfunction,1
216207010,left ventricular systolic dysfunction,1
139475013,heart failure,1
3182531000006110,congestive heart disease,1
3552501000006110,hypertensive cardiopathy,1
3552511000006110,hypertensive cardiomegaly,1
3868311000006110,myocardial failure,1
5573991000006110,impaired left ventricular func,1
6978012,diastolic dysfunction,1
741681000006111,hypertensive heart disease nos with ccf,1
728671000006119,malignant hypertensive heart disease with ccf,1
504901000006118,benign hypertensive heart disease with ccf,1
