medcodeid,description,pad
105536013,Intermittent claudication,1
742481000006118,Ischaemia of legs,1
272003016,Other bypass of femoral artery or popliteal artery NOS,1
300515011,Peripheral vascular disease NOS,1
235911000006116,Peripheral vascular disease NOS,1
300514010,Other specified peripheral vascular disease NOS,1
317343014,[D]Gangrene,1
300505017,Gangrene of toe,1
350535018,Peripheral ischaemic vascular disease,1
395791015,Other peripheral vascular disease,1
357895013,Ischaemic leg ulcer,1
350533013,Peripheral ischaemia,1
411512011,Claudication,1
357893018,Mixed venous and arterial leg ulcer,1
394338018,Other emergency bypass of femoral artery or popliteal artery,1
300504018,Peripheral gangrene,1
458507017,Popliteal artery occlusion,1
450665015,Ischaemic toe,1
271900018,Percutaneous transluminal angioplasty of iliac artery,1
357894012,Arterial leg ulcer,1
256133012,O/E - gangrene,1
300506016,Gangrene of foot,1
300433019,Extremity artery atheroma,1
238621000006112,Percut translum thrombolysis femoral graft streptokinase,1
216185010,Peripheral vascular disease monitoring,1
530051000006117,Bypass aorta by anastomosis axillary to femoral artery NEC,1
87210015,Buerger's disease,1
300509011,Gangrene of hand,1
300511019,Peripheral angiopathic disease EC NOS,1
300556014,Embolism and thrombosis of the iliac artery unspecified,1
530131000006113,Bypass femoral artery by fem/pop art anast c prosthesis NEC,1
530141000006115,Bypass femoral artery by fem/pop art anast c vein graft NEC,1
239491000006117,Percutaneous transluminal angioplasty of popliteal artery,1
300554012,Embolism and/or thrombosis of the internal iliac artery,1
302011,Diabetic peripheral angiopathy,1
87208017,Thromboangiitis obliterans,1
300510018,Other specified peripheral vascular disease,1
300500010,Raynaud's syndrome NOS,1
530151000006118,Bypass femoral artery by fem/tib art anast c prosthesis NEC,1
300507013,Gangrene of finger,1
300502019,Presenile gangrene,1
530161000006116,Bypass femoral artery by fem/tib art anast c vein graft NEC,1
36061000006118,Other bypass of femoral artery or popliteal artery OS,1
300547018,Embolism and thrombosis of a leg artery NOS,1
530171000006111,Bypass femoral artery by femoral/femoral art anastomosis NEC,1
300508015,Gangrene of thumb,1
530121000006110,Bypass femoral artery by fem/peron a anast c vein graft NEC,1
300553018,Embolism and/or thrombosis of the common iliac artery,1
300555013,Embolism and/or thrombosis of the external iliac artery,1
451376017,H/O: Peripheral vascular disease procedure,1
300503012,Thromboangiitis obliterans NOS,1
530111000006119,Bypass femoral artery by fem/peron a anast c prosthesis NEC,1
300541017,Embolism and thrombosis of the anterior tibial artery,1
300542012,Embolism and thrombosis of the dorsalis pedis artery,1
300963017,[X]Other specified peripheral vascular diseases,1
1847121000006110,Peripheral arterial disease,1
