medcodeid,term,lung_fibrosis
107470010,Interstitial pneumonia,1
11777991000006100,Bronchiolitis obliterans organizing pneumonia,1
11778011000006100,BOOP - Bronchiolitis obliterans organising pneumonia,1
11778021000006100,Bronchiolitis obliterans with usual interstitial pneumonitis,1
11778031000006100,BOOP - Bronchiolitis obliterans organizing pneumonia,1
11828571000006100,Bronchiolitis fibrosa obliterans,1
11878901000006100,Eosinophilic granulomatosis with polyangiitis,1
11878911000006100,EGPA - eosinophilic granulomatosis with polyangiitis,1
12716191000006100,idiopathic interstitial pneumonia,1
12757781000006100,idiopathic fibrosing alveolitis,1
1759011000006110,Respiratory bronchiolitis associated interstitial lung disease,1
1772931000006110,desquamative interstitial pneumonia,1
1772941000006110,lymphoid interstitial pneumonitis,1
1773251000006110,nonspecific interstitial pneumonia,1
1773261000006110,fibrotic nonspecific interstitial pneumonia,1
1773271000006110,cellular nonspecific interstitial pneumonia,1
1786131000006110,Idiopathic pulmonary fibrosis,1
1786171000006110,Respiratory bronchiolitis associated interstitial lung dis,1
196654011,Cryptogenic fibrosing alveolitis,1
211391000006118,Postinflammatory pulmonary fibrosis,1
2475606014,Usual interstitial pneumonitis,1
254002014,O/E - fibrosis of lung,1
254003016,O/E - fibrosis of lung present,1
2636471000006110,desquamative interstitial pneumonitis,1
2636481000006110,dip - desquamative interstitial pneumonitis,1
2670764010,pulmonary eosinophilia,1
301127010,Obliterating fibrous bronchiolitis,1
301609011,Chronic pulmonary radiation disease,NA
301709019,Idiopathic fibrosing alveolitis NOS,1
301739012,pulmonary eosinophilia nos,1
301758015,Interstitial lung disease NEC,1
301852014,[X]Other interstitial pulmonary diseases with fibrosis,1
301853016,[X]Other specified interstitial pulmonary diseases,1
3145221000006110,Obliterative bronchiolitis,1
3145231000006110,OB - Obliterative bronchiolitis,1
3213191000006110,lymphoid interstitial pneumonia,1
3213201000006110,lymphocytic interstitial pneumonia,1
3213221000006110,lip - lymphoid interstitial pneumonitis,1
3213231000006110,idiopathic lymphocytic interstitial pneumonia,1
3336391000006110,Fibrosis of lung,1
350255018,Progressive massive fibrosis,1
3556351000006110,Acute eosinophilic pneumonia,1
3556371000006110,EP - Acute eosinophilic pneumonia,1
4555561000006110,On examination - fibrosis of lung present,1
474819014,Cryptogenic organising pneumonia,1
474828010,Bronchiolitis obliterans organising pneumonia,1
4782331000006110,DIPF - Diffuse interstitial pulmonary fibrosis,1
4782341000006110,Fibrosing alveolitis,1
4782361000006110,UIP - Usual interstitial pneumonitis,1
492443010,Bronchiolitis obliterans,1
5054591000006110,ILD - Interstitial lung disease,1
5054601000006110,Diffuse parenchymal lung disease,1
5055261000006110,PMF - Progressive massive fibrosis,1
5092491000006110,Acute interstitial pneumonia,1
5492481000006110,Postinflammatory pulmonary fibrosis,1
621121000006112,Diffuse pulmonary fibrosis,1
75302014,Idiopathic fibrosing alveolitis,1
7532701000006110,Usual interstitial pneumonia,1
7783501000006110,Cryptogenic organizing pneumonia,1
7783511000006110,COP - Cryptogenic organising pneumonitis,1
7783521000006110,COP - Cryptogenic organizing pneumonitis,1
85960018,Pulmonary fibrosis,1
885481000006119,idiopath. fibrosing alveolitis,1
885491000006116,Pulmonary fibrosis,1
