gold_medcode,medcodeid,readcode,readterm,renal_failure
29013,304031000000117,1Z10.00,Chronic kidney disease stage 1,1
12586,304051000000112,1Z11.00,Chronic kidney disease stage 2,1
12566,304071000000115,1Z12.00,Chronic kidney disease stage 3,1
12479,304091000000116,1Z13.00,Chronic kidney disease stage 4,1
12585,304111000000114,1Z14.00,Chronic kidney disease stage 5,1
94965,557811000000119,1Z15.00,Chronic kidney disease stage 3A,1
95179,557831000000110,1Z16.00,Chronic kidney disease stage 3B,1
94789,595541000000119,1Z17.00,Chronic kidney disease stage 1 with proteinuria,1
95572,595601000000118,1Z18.00,Chronic kidney disease stage 1 without proteinuria,1
95146,595661000000119,1Z19.00,Chronic kidney disease stage 2 with proteinuria,1
97979,618411000000118,1Z19.11,CKD stage 2 with proteinuria,1
95121,595721000000116,1Z1A.00,Chronic kidney disease stage 2 without proteinuria,1
97978,618421000000112,1Z1A.11,CKD stage 2 without proteinuria,1
94793,595811000000117,1Z1B.00,Chronic kidney disease stage 3 with proteinuria,1
95123,595871000000110,1Z1C.00,Chronic kidney disease stage 3 without proteinuria,1
95571,618451000000119,1Z1D.11,CKD stage 3A with proteinuria,1
95175,595991000000115,1Z1E.00,Chronic kidney disease stage 3A without proteinuria,1
95178,596051000000115,1Z1F.00,Chronic kidney disease stage 3B with proteinuria,1
95180,618471000000111,1Z1F.11,CKD stage 3B with proteinuria,1
95177,596131000000114,1Z1G.00,Chronic kidney disease stage 3B without proteinuria,1
100633,618481000000113,1Z1G.11,CKD stage 3B without proteinuria,1
95122,596191000000110,1Z1H.00,Chronic kidney disease stage 4 with proteinuria,1
99312,618491000000110,1Z1H.11,CKD stage 4 with proteinuria,1
95406,596261000000111,1Z1J.00,Chronic kidney disease stage 4 without proteinuria,1
97587,618501000000116,1Z1J.11,CKD stage 4 without proteinuria,1
95508,596321000000110,1Z1K.00,Chronic kidney disease stage 5 with proteinuria,1
95405,596401000000111,1Z1L.00,Chronic kidney disease stage 5 without proteinuria,1
110269,1940591000006110,1Z1Q.00,CKD with GFR category G2 & albuminuria category A1,1
110108,1940601000006110,1Z1R.00,CKD with GFR category G2 & albuminuria category A2,1
109805,1940631000006110,1Z1V.00,CKD with GFR category G3a & albuminuria category A2,1
109905,1940641000006110,1Z1W.00,CKD with GFR category G3a & albuminuria category A3,1
109963,1940651000006110,1Z1X.00,CKD with GFR category G3b & albuminuria category A1,1
109657,1940661000006110,1Z1Y.00,CKD with GFR category G3b & albuminuria category A2,1
109990,1940671000006110,1Z1Z.00,CKD with GFR category G3b & albuminuria category A3,1
109980,1940501000006110,1Z1a.00,CKD with GFR category G4 & albuminuria category A1,1
109904,1940511000006110,1Z1b.00,CKD with GFR category G4 & albuminuria category A2,1
110626,1940521000006110,1Z1c.00,CKD with GFR category G4 & albuminuria category A3,1
110467,1940551000006110,1Z1f.00,CKD with GFR category G5 & albuminuria category A3,1
95176,618461000000116,1z1E.11,CKD stage 3A without proteinuria,1
60302,2675886019,7A60600,Creation of graft fistula for dialysis,1
31549,394639018,7L1A.00,Compensation for renal failure,1
11773,619541000006116,7L1A.11,Dialysis for renal failure,1
20073,394640016,7L1A000,Renal dialysis,1
101756,106291000006118,7L1A011,Thomas intravascular shunt for dialysis,1
2994,118218017,7L1A100,Peritoneal dialysis,1
2996,278832011,7L1A200,Haemodialysis NEC,1
71124,349998013,7L1A300,Haemofiltration,1
88597,2692168016,7L1A400,Automated peritoneal dialysis,1
30756,357219012,7L1A500,Continuous ambulatory peritoneal dialysis,1
64828,375841000000114,7L1A600,Peritoneal dialysis NEC,1
48022,278834012,7L1Ay00,Other specified compensation for renal failure,1
64636,278835013,7L1Az00,Compensation for renal failure NOS,1
56760,228101000006113,7L1B.00,Placement ambulatory apparatus compensation renal failure,1
36442,228131000006117,7L1B.11,Placement ambulatory dialysis apparatus - compens renal fail,1
8037,773041000006111,7L1B000,Insertion of ambulatory peritoneal dialysis catheter,1
104586,1705621000000110,7L1B200,Flushing of peritoneal dialysis catheter,1
59194,228121000006115,7L1By00,Placement ambulatory apparatus- compensate renal failure OS,1
83513,228211000006117,7L1C.00,Placement other apparatus for compensation for renal failure,1
30709,278844014,7L1C000,Insertion of temporary peritoneal dialysis catheter,1
107901,228231000006111,7L1Cy00,Placement other apparatus- compensate for renal failure OS,1
65089,228221000006113,7L1Cz00,Placement other apparatus- compensate for renal failure NOS,1
106860,356557018,C353600,Renal failure-associated hyperphosphataemia,1
28684,299673010,G233.00,Hypertensive heart and renal disease with renal failure,1
107188,2195661000000110,G72D.00,Aneurysm of dialysis arteriovenous fistula,1
110095,1847091000006110,G72D000,Aneurysm of superficialised artery of dialysis AV fistula,1
107220,2195721000000110,G72D100,Aneurysm of needle site of dialysis arteriovenous fistula,1
105742,1847111000006110,G72D200,Aneurysm of anastomotic site of dialysis AV fistula,1
107746,2210341000000110,Gy1..00,Stenosis of dialysis vascular access,1
108699,2237981000000110,Gy10.00,Stenosis of dialysis arteriovenous graft,1
109809,2210381000000110,Gy2..00,Thrombosis of dialysis vascular access,1
106720,2238301000000110,Gy21.00,Thrombosis of dialysis arteriovenous fistula,1
108116,2237821000000110,Gy3..00,Occlusion of dialysis vascular access,1
109135,2238381000000110,Gy30.00,Occlusion of dialysis arteriovenous graft,1
107082,2238421000000110,Gy31.00,Occlusion of dialysis arteriovenous fistula,1
110051,2237861000000110,Gy4..00,Infection of dialysis vascular access,1
108213,2240321000000110,Gy40.00,Infection of dialysis arteriovenous graft,1
107260,1870801000006110,Gy41.00,Infection of dialysis arteriovenous fistula,1
108759,2237901000000110,Gy5..00,Haemorrhage of dialysis vascular access,1
106975,2240871000000110,Gy51.00,Haemorrhage of dialysis arteriovenous fistula,1
108423,2240951000000110,Gy60.00,Rupture of dialysis arteriovenous graft,1
2266,460091000006111,K04..00,Acute renal failure,1
105739,1221119015,K04..11,ARF - Acute renal failure,1
105238,2204191000000110,K04..12,Acute kidney injury,1
57919,354413016,K043.00,Acute drug-induced renal failure,1
104857,2645796013,K043000,Acute renal failure due to ACE inhibitor,1
108103,2180741000000110,K043100,Acute renal failure induced by aminoglycoside,1
107241,1847641000006110,K043400,Acute renal failure induced by non-steroid anti-inflamm drug,1
97198,1705781000006110,K044.00,Acute renal failure due to urinary obstruction,1
105209,2184271000000110,K045.00,Acute renal failure due to non-traumatic rhabdomyolysis,1
109518,2214211000000110,K046.00,Acute renal failure induced by toxin,1
35235,303915016,K04y.00,Other acute renal failure,1
25582,303916015,K04z.00,Acute renal failure NOS,1
6712,215521000000116,K050.00,End stage renal failure,1
105392,2767383018,K051.00,Chronic kidney disease stage 1,1
105383,2767384012,K052.00,Chronic kidney disease stage 2,1
104619,2773184015,K053.00,Chronic kidney disease stage 3,1
105151,2767154014,K055.00,Chronic kidney disease stage 5,1
350,396711013,K06..00,Renal failure unspecified,1
4809,73171000006118,K06..11,Uraemia NOS,1
107771,1816581000006110,K06..12,Kidney failure unspecified,1
8330,641491000006116,K0D..00,End-stage renal disease,1
61930,424731000006111,Kyu2.00,[X]Renal failure,1
53945,305191012,Kyu2000,[X]Other acute renal failure,1
48639,30043012,SP01500,Mechanical complication of dialysis catheter,1
46438,453312018,SP05613,[X] Peritoneal dialysis associated peritonitis,1
101124,1743241000006110,SP06B00,Continuous ambulatory peritoneal dialysis associated perit,1
59315,2645965011,SP07G00,Stenosis of arteriovenous dialysis fistula,1
107900,1848741000006110,SP0E.00,Disorders associated with peritoneal dialysis,1
108785,2211311000000110,SP0F.00,Haemodialysis first use syndrome,1
105436,2211671000000110,SP0G.00,Anaphylactoid reaction due to haemodialysis,1
11554,403109016,SP15400,Renal failure as a complication of care,1
39598,403110014,SP15411,Kidney failure as a complication of care,1
24292,218351000000112,SP15412,Post operative renal failure,1
28158,754781000006116,TB11.00,"Kidney dialysis with complication, without blame",1
66714,176711000006111,TB11.11,"Renal dialysis with complication, without blame",1
54844,384641000006114,U612200,[X]Failure sterile precautions dur kidney dialys/other perf,1
52088,460912010,ZV56100,[V]Preparatory care for dialysis,1
