medcodeid,term,primary,ae,op,hospital
1981171000006115,a&e arrival mode - brought in by emergency ambulance,,1,,
1981181000006117,a&e arrival mode - other,,1,,
841501000006118,a&e attendance,,1,,
1981761000006114,a&e attendance - admitted to hospital bed/lodged patient,,1,,
1981831000006113,a&e attendance - died in department,,1,,
1981781000006116,a&e attendance - discharged no follow up treatment required,,1,,
1981771000006119,a&e attendance - discharged with follow up treatment by gp,,1,,
1981851000006118,a&e attendance - left department before being seen for treatment,,1,,
1981861000006116,a&e attendance - left department having refused treatment,,1,,
1981871000006111,a&e attendance - other disposal,,1,,
1981791000006118,a&e attendance - referred to a&e clinic,,1,,
1981801000006117,a&e attendance - referred to fracture clinic,,1,,
1981841000006115,a&e attendance - referred to other health care professional,,1,,
1981811000006119,a&e attendance - referred to other out-patient clinic,,1,,
1981821000006110,a&e attendance - transferred to other health care provider,,1,,
1981471000006114,a&e incident location type - educational establishment,,1,,
1981451000006116,a&e incident location type - home,,1,,
1981491000006110,a&e incident location type - other,,1,,
1981481000006112,a&e incident location type - public place,,1,,
1981461000006119,a&e incident location type - work,,1,,
62021000000110,a&e report,,1,,
1981431000006111,a&e source of referral - community dental service,,1,,
1981381000006115,a&e source of referral - educational establishment,,1,,
1981361000006113,a&e source of referral - emergency services,,1,,
1981421000006113,a&e source of referral - general dental practitioner,,1,,
1981331000006116,a&e source of referral - general medical practitioner,,1,,
1981351000006111,a&e source of referral - local authority social services,,1,,
1981411000006117,a&e source of referral - other,,1,,
1981391000006117,a&e source of referral - police,,1,,
1981401000006115,a&e source of referral - same or other healthcare provider,,1,,
1981341000006114,a&e source of referral - self referral,,1,,
1981371000006118,a&e source of referral - work,,1,,
1994171000006118,a&e treatment: eye - laser of retina/iris or posterior capsule,,1,,
1994181000006115,a&e treatment: occupational therapy - activities of daily living equip provision,,1,,
1994161000006113,a&e treatment: occupational therapy - ot functional assessment,,1,,
1993941000006113,a&e treatment: recall/x-ray review,,1,,
1777661000006114,activity location: out-patient clinic,,,1,
1777591000006117,activity location: polyclinic,,,1,
7566941000006110,acute pain clinic,,,1,
1764421000006118,admission avoidance hospital at home started,1,,,
5938191000006115,admission by clinical allergist,,,,1
5938111000006113,admission by clinical biochemist,,,,1
5963931000006116,admission by clinical haematologist,,,,1
5963941000006114,admission by clinical hematologist,,,,1
5938261000006116,admission by clinical immunologist,,,,1
5938271000006111,admission by clinical neurophysiologist,,,,1
5937751000006114,admission by clinical oncologist,,,,1
5938281000006114,admission by clinical pharmacologist,,,,1
5938291000006112,admission by clinical physiologist,,,,1
5938971000006118,admission by hospital midwife,,,,1
5938961000006113,admission by hospital-based midwife,,,,1
5939251000006110,admission to care of the elderly day hospital,,,,1
5939411000006110,admission to clinical allergy department,,,,1
5939911000006118,admission to clinical biochemistry department,,,,1
5939571000006119,admission to clinical cytogenetics department,,,,1
5939561000006114,admission to clinical genetics department,,,,1
5939471000006118,admission to clinical immunology department,,,,1
5939581000006116,admission to clinical molecular genetics department,,,,1
5939481000006115,admission to clinical neurophysiology department,,,,1
5976621000006113,admission to clinical oncology department,,,,1
5939491000006117,admission to clinical pharmacology department,,,,1
5939501000006113,admission to clinical physiology department,,,,1
447726018,admission to community hospital,,,,1
5939191000006113,admission to day hospital,,,,1
5939221000006118,admission to elderly mentally ill day hospital,,,,1
5939241000006113,admission to elderly severely mentally ill day hospital,,,,1
5939111000006115,admission to general practice hospital,,,,1
5939261000006112,admission to geriatric day hospital,,,,1
5939101000006118,admission to gp hospital,,,,1
1936211000006119,admission to hospice from acute hospital,,,,1
1936261000006116,admission to hospice from community hospital,,,,1
1227951014,admission to hospital,,,,1
5939131000006114,admission to long stay hospital,,,,1
5939231000006115,admission to old age psychiatry day hospital,,,,1
5939121000006111,admission to private hospital,,,,1
5939201000006111,admission to psychiatric day hospital,,,,1
5939211000006114,admission to psychogeriatric day hospital,,,,1
5939141000006116,admission to tertiary referral hospital,,,,1
283552011,admit hospital emergency nos,,,,1
950731000006115,admitted civilian hospital,,,,1
950721000006118,admitted service hospital,,,,1
1583651000006112,admitted: hospital,,,,1
7567041000006111,after hours clinic,1,,,
7566961000006114,allergy clinic,,,1,
7567061000006110,anticoagulation clinic,,,1,
1928341000006114,appointment made at extended hours clinic - esa,1,,,
1955941000006117,appropriate non-elective hospital admission,,,,1
7567071000006115,asthma clinic,,,1,
26101000000112,asthma clinic administration,,,1,
300371000000111,asthma outreach clinic,,,1,
1874781000006116,attended a&e,,1,,
1152391000000113,attended extended hours clinic,1,,,
1716281000006114,attended extended hours clinic - esa,1,,,
459258013,attending cardiology clinic,,,1,
1780492014,attending chest clinic,,,1,
456685013,attending clinic,,,1,
456686014,attending diabetes clinic,,,1,
406091000000115,attending leg ulcer clinic,,,1,
498811000006112,attends outpatients,,,1,
6718421000006112,attends psychiatric outpatient clinic,,,1,
7567081000006117,audiology clinic,,,1,
7567141000006110,cardiology clinic,,,1,
6029451000006115,cardiology emergency hospital admission,,,,1
457274011,cardiology emergency hospital admission,,,,1
4723741000006116,cardiothoracic emergency hospital admission,,,,1
283549015,cardiothoracic emergency hospital admission,,,,1
285879017,cardiovascular clinic,,,1,
7567251000006116,chronic obstructive pulmonary disease clinic,,,1,
7567261000006119,chronic pain clinic,,,1,
1672471000006112,clinic,1,,,
5994071000006118,clinical allergy department,,,1,
5995631000006112,clinical allergy service,,,1,
8313421000006112,clinical allergy service,,,1,
904801000006118,clinical immunology and allergy referral,,,1,
8313201000006115,clinical immunology and allergy service,,,1,
7825561000006116,clinical immunology and allergy specialist,,,1,
5993831000006112,clinical oncology department,,,1,
968351000006119,clinical oncology referral,,,1,
5995431000006114,clinical oncology service,,,1,
1672481000006110,community clinic,1,,,
63481000000111,community clinic note,1,,,
940801000006117,community clinical terms project,1,,,
1563331000006112,community health clinic,1,,,
4945611000006117,community hospital,1,,,
7807031000006116,congestive heart failure clinical management plan,,,1,
1860181000006118,date of last hospital admission,,,,1
608281000006119,death in hospital,,,,1
608301000006115,death notification - non-hospital source,,,,1
1655711000000110,declined consent for researcher to access clinical record,,,,1
7567311000006114,deep vein thrombosis clinic,,,1,
7567331000006115,dermatology clinic,,,1,
4723511000006110,dermatology emergency hospital admission,,,,1
283537016,dermatology emergency hospital admission,,,,1
285477011,dermatology outreach clinic,,,1,
7565341000006118,diabetes clinic,,,1,
25261000000111,diabetes clinic administration,,,1,
7567341000006113,diabetes foot care clinic,,,1,
4723641000006110,diabetic emergency hospital admission,,,,1
283544013,diabetic emergency hospital admission,,,,1
283820019,died in hospital,,,,1
