prodcodeid,productname,route,formulation,strength,bnfcode,diuretic
11241000033113,Accuretic 10mg/12.5mg tablets,Oral,Tablet,12.500mg + 10.000mg,2050501,1
3162941000033110,Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets,Oral,Tablet,200.000mg + 12.500mg,NA,1
13141000033119,Acezide 25mg/50mg tablets,Oral,Tablet,50.000mg + 25.000mg,2050501,1
9159341000033110,Actelsar HCT 40mg/12.5mg tablets,Oral,Tablet,12.500mg + 40.000mg,NA,1
9159441000033110,Actelsar HCT 80mg/12.5mg tablets,Oral,Tablet,12.500mg + 80.000mg,NA,1
9159541000033110,Actelsar HCT 80mg/25mg tablets,Oral,Tablet,25.000mg + 80.000mg,NA,1
60341000033110,Amil-Co 5mg/50mg tablets,Oral,Tablet,5.000mg + 50.000mg,2020400,1
57341000033115,Amilmaxco 5mg/50mg tablets,Oral,Tablet,5.000mg + 50.000mg,NA,1
1845641000033110,Amiloride 5mg / Bumetanide 1mg tablets,Oral,Tablet,5.000mg + 1.000mg,2020400,1
74541000033119,Aprinox 2.5mg tablets,Oral,Tablet,2.500mg,2020100,1
74641000033118,Aprinox 5mg tablets,Oral,Tablet,5.000mg,2020100,1
5453941000033110,Bendroflumethiazide 1.25mg/5ml oral suspension,Oral,Oral suspension,250.000microgram/1.000ml,NA,1
3161041000033110,Bendroflumethiazide 2.5mg / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets,Oral,Modified-release tablet,2.500mg + 573.000mg,NA,1
3162841000033110,Bendroflumethiazide 2.5mg / Potassium chloride 630mg (potassium 8.4mmol) modified-release tablets,Oral,Modified-release tablet,2.500mg + 630.000mg,NA,1
3083141000033110,Bendroflumethiazide 2.5mg tablets,Oral,Tablet,2.500mg,2020100,1
3151841000033110,Bendroflumethiazide 2.5mg/5ml oral suspension,Oral,Oral suspension,500.000microgram/1.000ml,NA,1
3083241000033110,Bendroflumethiazide 5mg tablets,Oral,Tablet,5.000mg,2020100,1
5401741000033110,Bendroflumethiazide 5mg/5ml oral suspension,Oral,Oral suspension,1.000mg/1.000ml,NA,1
172441000033118,Bumetanide 1mg tablets,Oral,Tablet,1.000mg,2020200,1
169041000033112,Bumetanide 1mg/5ml oral solution sugar free,Oral,Oral solution,200.000microgram/1.000ml,2020200,1
1845741000033110,Bumetanide 500microgram / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets,Oral,Modified-release tablet,500.000microgram + 573.000mg,NA,1
172541000033117,Bumetanide 5mg tablets,Oral,Tablet,5.000mg,2020200,1
10713941000033100,Bumetanide 5mg/5ml oral suspension,Oral,Oral suspension,1.000mg/1.000ml,NA,1
172741000033113,Burinex 1mg tablets,Oral,Tablet,1.000mg,NA,1
172841000033115,Burinex 5mg tablets,Oral,Tablet,5.000mg,NA,1
172341000033112,Burinex A 5mg/1mg tablets,Oral,Tablet,5.000mg + 1.000mg,NA,1
172941000033111,Burinex K modified-release tablets,Oral,Modified-release tablet,500.000microgram + 573.000mg,NA,1
216441000033110,Capozide 25mg/50mg tablets,Oral,Tablet,50.000mg + 25.000mg,2050501,1
209241000033119,Capozide LS 12.5mg/25mg tablets,Oral,Tablet,25.000mg + 12.500mg,NA,1
209841000033115,Carace 10 Plus tablets,Oral,Tablet,12.500mg + 10.000mg,2050501,1
215941000033111,Carace 10mg tablets,Oral,Tablet,10.000mg,NA,1
