prodcodeid,dmdid,productname,formulation,routeofadministration,drugsubstancename,substancestrength,termfromemis,weak_opiate,strong_opiate,opiates_all,opiate_all
1029741000033110,,,,,,,paracetamol & codeine dispersible tablets,1,NA,1,1
1030141000033110,655311000001106,Paracodol 8mg/500mg effervescent tablets, Effervescent tablet,Oral,Codeine phosphate/ Paracetamol,8.000mg + 500.000mg,paracodol 8mg/500mg effervescent tablets (bayer plc),1,NA,1,1
1040041000033110,,,,,,,paracetamol & codeine tablets,1,NA,1,1
1043041000033110,4656111000001100,Paramol tablets,Tablet,Oral,Dihydrocodeine tartrate/ Paracetamol,7.460mg + 500.000mg,paramol tablets (ssl international plc),1,NA,1,1
1157241000033110,,,,,,,remedeine effervescent tablets,1,NA,1,1
1157541000033110,419911000001100,Remedeine Forte tablets,Tablet,Oral,Dihydrocodeine tartrate/ Paracetamol,30.000mg + 500.000mg,remedeine forte tablets (crescent pharma ltd),1,NA,1,1
1157641000033110,,,,,,,remedeine forte effervescent tablets,1,NA,1,1
1164541000033110,680111000001109,Remedeine tablets,Tablet,Oral,Dihydrocodeine tartrate/ Paracetamol,20.000mg + 500.000mg,remedeine tablets (crescent pharma ltd),1,NA,1,1
11736241000033100,10068111000001100,Solpadeine Plus soluble tablets,Soluble tablet,Oral,Caffeine/ Codeine phosphate/ Paracetamol,30.000mg + 8.000mg + 500.000mg,solpadeine plus soluble tablets (omega pharma ltd),1,NA,1,1
12356141000033100,34625311000001100,Co-codamol 60mg/1000mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,60.000mg + 1.000gram,co-codamol 60mg/1000mg tablets,1,NA,1,1
12583641000033100,18075611000001100,Solpadeine Max soluble tablets, Effervescent tablet,Oral,Caffeine/ Codeine phosphate/ Paracetamol,30.000mg + 12.800mg + 500.000mg,solpadeine max soluble tablets (omega pharma ltd),1,NA,1,1
12684741000033100,35579011000001100,Emcozin 30mg/500mg tablets,Tablet,Oral,Codeine phosphate/ Paracetamol,30.000mg + 500.000mg,emcozin 30mg/500mg tablets (m & a pharmachem ltd),1,NA,1,1
12708841000033100,329683004,Ibuprofen 200mg / Codeine 12.8mg tablets,Tablet,Oral,Codeine phosphate/ Ibuprofen,12.800mg + 200.000mg,ibuprofen 200mg / codeine 12.8mg tablets,1,NA,1,1
13417741000033100,38063911000001100,Co-codamol 30mg/500mg/5ml oral solution sugar free,Oral solution,Oral,Codeine phosphate/ Paracetamol,6.000mg/1.000ml + 100.000mg/1.000ml,co-codamol 30mg/500mg/5ml oral solution sugar free,1,NA,1,1
