prodcodeid,dmdid,productname,formulation,routeofadministration,drugsubstancename,substancestrength,termfromemis,paracetamol
1029941000033110,322246006,Paracetamol 100mg/ml oral solution sugar free,Oral solution,Oral,Paracetamol,100.000mg/1.000ml,paracetamol 100mg/ml oral solution sugar free,1
1030241000033110,,,,,,,panadol elixir 120mg/5 ml,1
1030341000033110,,,,,,,paracetamol sugar free elixir 120 mg/5 ml,1
1037541000033110,,,,,,,paracetamol mixture 250 mg/5 ml,1
1037941000033110,35369011000001100,Paracetamol 120mg soluble tablets sugar free,Soluble tablet,Oral,Paracetamol,120.000mg,paracetamol 120mg soluble tablets sugar free,1
1038041000033110,322277008,Paracetamol 120mg/5ml oral suspension paediatric,Oral suspension,Oral,Paracetamol,24.000mg/1.000ml,paracetamol 120mg/5ml oral suspension paediatric,1
1038641000033110,322237000,Paracetamol 500mg soluble tablets, Effervescent tablet,Oral,Paracetamol,500.000mg,paracetamol 500mg soluble tablets,1
1038841000033110,,,,,,,paracetamol sugar free mixture 250 mg/5 ml,1
1038941000033110,322282001,,,,,,paracetamol 120mg/5ml oral suspension paediatric sugar free,1
1039041000033110,322278003,Paracetamol 125mg suppositories,Suppository,Rectal,Paracetamol,125.000mg,paracetamol 125mg suppositories,1
1039141000033110,,,,,,,paracetamol suspension 120 mg/5 ml,1
1039241000033110,322254008,Paracetamol 240mg suppositories,Suppository,Rectal,Paracetamol,240.000mg,paracetamol 240mg suppositories,1
1039341000033110,322250004,Paracetamol 500mg suppositories,Suppository,Rectal,Paracetamol,500.000mg,paracetamol 500mg suppositories,1
1039841000033110,,,,,,,paracetamol syrup 120 mg/5 ml,1
1040341000033110,526111000001109,Panadol 500mg tablets,Tablet,Oral,Paracetamol,500.000mg,panadol 500mg tablets (glaxosmithkline consumer healthcare),1
1040441000033110,322236009,Paracetamol 500mg tablets,Tablet,Oral,Paracetamol,500.000mg,paracetamol 500mg tablets,1
1042341000033110,,,,,,,panadol soluble tablets 500 mg,1
11717041000033100,32968511000001100,Paravict 500mg tablets,Tablet,Oral,Paracetamol,500.000mg,paravict 500mg tablets (ecogen europe ltd),1
11781541000033100,33568211000001100,Paracetamol 500mg / Ibuprofen 150mg tablets,Tablet,Oral,Ibuprofen/ Paracetamol,150.000mg + 500.000mg,paracetamol 500mg / ibuprofen 150mg tablets,1
12207341000033100,34343611000001100,Paracetamol 1g/100ml solution for infusion bottles,Solution for infusion,Intravenous,Paracetamol,10.000mg/1.000ml,paracetamol 1g/100ml solution for infusion bottles,1
12426441000033100,34887511000001100,Paracetamol 100mg/10ml solution for infusion ampoules,Solution for infusion,Intravenous,Paracetamol,10.000mg/1.000ml,paracetamol 100mg/10ml solution for infusion ampoules,1
12428741000033100,34878611000001100,Paracetamol 500mg effervescent tablets, Effervescent tablet,Oral,Paracetamol,500.000mg,paracetamol 500mg effervescent tablets,1
12579041000033100,16665611000001100,Paracetamol 1g tablets,Tablet,Oral,Paracetamol,1.000gram,paracetamol 1g tablets,1
12903041000033100,36752911000001100,Paracetamol 1g effervescent tablets sugar free,Effervescent tablet,Oral,Paracetamol,1.000gram,paracetamol 1g effervescent tablets sugar free,1
13395041000033100,322377005,Paracetamol 500mg / Diphenhydramine 25mg tablets,Tablet,Oral,Diphenhydramine hydrochloride/ Paracetamol,25.000mg + 500.000mg,paracetamol 500mg / diphenhydramine 25mg tablets,1
1714641000033110,124811000001103,Alvedon 250mg suppositories,Suppository,Rectal,Paracetamol,250.000mg,alvedon 250mg suppositories (intrapharm laboratories ltd),1
1714741000033110,538011000001105,Alvedon 60mg suppositories,Suppository,Rectal,Paracetamol,60.000mg,alvedon 60mg suppositories (intrapharm laboratories ltd),1
1747841000033110,322280009,Paracetamol 500mg capsules,Capsule,Oral,Paracetamol,500.000mg,paracetamol 500mg capsules,1
1748941000033110,322257001,Paracetamol 250mg suppositories,Suppository,Rectal,Paracetamol,250.000mg,paracetamol 250mg suppositories,1
1749041000033110,322258006,Paracetamol 60mg suppositories,Suppository,Rectal,Paracetamol,60.000mg,paracetamol 60mg suppositories,1
1811641000033110,322239002,Paracetamol 250mg/5ml oral suspension,Oral suspension,Oral,Paracetamol,50.000mg/1.000ml,paracetamol 250mg/5ml oral suspension,1
1846641000033110,322787006,Paracetamol 500mg / Metoclopramide 5mg tablets,Tablet,Oral,Metoclopramide hydrochloride/ Paracetamol,5.000mg + 500.000mg,paracetamol 500mg / metoclopramide 5mg tablets,1
2105041000033110,322256005,Paracetamol 120mg suppositories,Suppository,Rectal,Paracetamol,120.000mg,paracetamol 120mg suppositories,1
2190441000033110,322238005,Paracetamol 120mg/5ml oral solution paediatric,Oral solution,Oral,Paracetamol,24.000mg/1.000ml,paracetamol 120mg/5ml oral solution paediatric,1
