medcodeid,cleansedreadcode,term,anorexia
404431014,1612,appetite loss - anorexia,1
366521000006113,Eu50100,[x]atypical anorexia nervosa,1
424051000006119,Eu50y12,[x]psychogenic loss of appetite,1
4766621000006110,,"loss of appetite, psychogenic",1
3547211000006110,,decrease in appetite,1
12717671000006100,,[d]anorexia,1
3799271000006110,,no appetite,1
317234019,R030000,[d]appetite loss,1
960281000006115,,anorexia,1
94597012,E271.00,anorexia nervosa,1
3423851000006110,,an - anorexia nervosa,1
317235018,R030z00,[d]anorexia nos,1
252186013,161Z.00,appetite symptom nos,1
1834191000006110,,small appetite,1
982541000006112,,reduced appetite,1
295444010,E275600,non-organic loss of appetite,1
363321000006111,Eu50000,[x]anorexia nervosa,1
3547231000006110,,poor appetite,1
499835012,1615,reduced appetite,1
372208017,1612.11,anorexia symptom,1
734511000006115,1612.12,loss of appetite - symptom,1
317233013,R030.00,[d]anorexia,1
3799251000006110,,anorexia,1
