medcodeid,cleansedreadcode,term,anosmia
255453013,2BP3.00,o/e - anosmia,1
2579255011,1B45.12,c/o - loss of smell sense,1
317115013,R011000,[d]anosmia,1
3211411000006110,,loss of the sense of smell,1
3211451000006110,,anosmia (loss of sense of smell),1
407070016,1B45.11,c/o - anosmia,1
4574721000006110,,on examination - anosmia,1
485201000006117,1B45.00,anosmia - loss of smell sense,1
5532831000006110,,complaining of anosmia,1
3211391000006110,,absent smell,1
3211421000006110,,no sense of smell,1
3211431000006110,,sense of smell lost,1
3211441000006110,,sense of smell absent,1
