medcodeid,term,chest_pain
165908016,atypical chest pain,1
252445011,central chest pain,1
457333014,[d]central chest pain,1
252447015,parasternal pain,1
317434016,[d]parasternal chest pain,1
252450017,costal margin chest pain,1
4775981000006110,cardiac angina,1
299765010,angina pectoris nos,1
4775971000006110,angina,1
299757012,angina pectoris,1
482941000006119,angina pectoris nos,1
4776011000006110,ap - angina pectoris,1
4776021000006110,ischemic heart disease - angina,1
4776001000006110,anginal syndrome,1
4776031000006110,ischaemic heart disease - angina,1
4871019,pleurodynia,1
2534651000006110,pleural pain,1
317430013,[d]pleurodynia,1
4874010,pleuritic pain,1
2534641000006110,pleuralgia,1
317429015,[d]pleuritic pain,1
338974012,ischaemic chest pain,1
4943331000006110,ischemic chest pain,1
350350014,new onset angina,1
5565191000006110,noncardiac chest pain,1
300001000006113,[d]non cardiac chest pain,1
317436019,[d]non-cardiac chest pain,1
317422012,[d]chest pain,1
317439014,[d]chest pain nos,1
49966017,chest pain,1
252451018,chest pain nos,1
317995013,[x]other chest pain,1
406061010,"[d]chest pain, unspecified",1
442204010,angina on effort,1
5887631000006110,exertional angina,1
5887611000006110,exercise-induced angina,1
5887641000006110,angina of effort,1
7847015,crescendo angina,1
494319014,retrosternal pain,1
222191000000111,[d] retrosternal chest pain,1
451468015,[d]retrosternal chest pain,1
482811000006113,angina at rest,1
498328016,angina at rest,1
504844017,chest pain on exertion,1
856451000006113,possible angina,1
119447018,precordial pain,1
165907014,chest wall pain,1
1948711000006110,chest pain relieved by rest,1
1948721000006110,chest pain relieved by glyceryl trinitrate,1
252446012,anterior chest wall pain,1
317426010,[d]precordial pain,1
317427018,[d]anterior chest wall pain,1
317428011,[d]painful respiration nos,1
317435015,[d]musculoskeletal chest pain,1
3727481000006110,breathing painful,1
459475017,seen in rapid access chest pain clinic,1
459476016,referral to rapid access chest pain clinic,1
481328013,painful breathing -pleurodynia,1
5056491000006110,chest pain with normal coronary angiography,1
960181000006111,anginal pain,1
