medcodeid,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,term,delirium
253591012,2232,162702000,253591012,o/e - mentally confused,1
253592017,2232.11,162702000,253592017,o/e - confused,1
294702012,E030300,191504009,294702012,"acute confusional state, of metabolic origin",1
294703019,E030400,191505005,294703019,"acute confusional state, of cerebrovascular origin",1
294709015,E031200,191510009,294709015,"subacute confusional state, of endocrine origin",1
294710013,E031300,191511008,294710013,"subacute confusional state, of metabolic origin",1
294711012,E031400,191512001,294711012,"subacute confusional state, of cerebrovascular origin",1
294920014,E132.00,191678001,294920014,reactive confusion,1
499799011,F481K00,64269007,499799011,visual hallucinations,1
2549087014,1B1b.00,416571005,2549087014,transient hallucinations,1
1759391000006110,,1759391000006100,1759391000006110,honos-ld item 8 - hallucinations/delusions,1
294712017,E031z00,191507002,294706010,subacute confusional state nos,1
317003012,R001.00,7011001,501492014,[d]hallucinations,1
317007013,R001300,66609003,500482013,"[d]hallucinations, tactile",1
317009011,R001z00,7011001,501492014,[d]hallucinations nos,1
362211000006118,Eu04.12,111479008,178719012,"[x]acute / subacute confusional state, nonalcoholic",1
456251000006115,E030000,191501001,294699017,"acute confusional state, post traumatic",1
318027012,Ryu5300,7011001,501492014,[x]other hallucinations,1
4550611000006110,,162702000,2668088017,on examination - mentally confused,1
3583281000006110,,66609003,1232815018,hallucinations of tactile sensation,1
4763461000006110,,191508007,294707018,"subacute confusional state, post-traumatic",1
3633271000006110,,69690008,501354012,hypnapompic hallucinations,1
3583261000006110,,66609003,110658010,haptic hallucination,1
2968461000006110,,29139005,1226299011,hallucinations of taste,1
12730251000006100,,621191000000103,1371601000000110,acute confusional state nos,1
882231000006112,E030z99,621191000000103,882231000006112,confusional state,1
317004018,R001000,45150006,494112014,"[d]hallucinations, auditory",1
317005017,R001100,29139005,484209019,"[d]hallucinations, gustatory",1
317006016,R001200,39672001,492193019,"[d]hallucinations, olfactory",1
294700016,E030100,191502008,294700016,"acute confusional state, of infective origin",1
294706010,E031.00,191507002,294706010,subacute confusional state,1
294708011,E031100,191509004,294708011,"subacute confusional state, of infective origin",1
74710016,1B1d.00,44780000,74710016,hypnagogic hallucination,1
3515731000006110,,62476001,1232339018,orientation confused,1
317080013,R009.00,40917007,492834012,[d]confusion,1
1494724015,2841,40917007,1494724015,confused,1
423861000006110,Eu44y13,280943007,418821011,[x]psychogenic confusion,1
1900971000006110,38P0600,989851000000105,2515621000000110,honosca item 7 - hallucinations and delusions,1
3222261000006110,,44780000,494020014,hypnagogic hallucinations,1
11905341000006100,,40917007,294331000006118,[d]confusion,1
317008015,R001400,64269007,499799011,[d]visual hallucinations,1
294704013,E030z00,2776000,483651010,acute confusional state nos,1
1972751000006110,,1972751000006100,1972751000006110,"subcortical vascular dementia, other symptoms, predominantly hallucinatory",1
483651010,E030.00,2776000,483651010,acute confusional state,1
501492014,1B1E.00,7011001,501492014,hallucinations,1
981151000006113,,981151000006109,981151000006113,hallucinations/illusions,1
294701017,E030200,191503003,294701017,"acute confusional state, of endocrine origin",1
68243014,2841.11,40917007,68243014,confusion,1
3583271000006110,,66609003,1232814019,haptic hallucinations,1
