medcodeid,term,earache
123079014,otogenic pain,1
21238010,referred ear pain,1
255624019,o/e - painful ear,1
255626017,o/e - ear auricle painful,1
255629012,o/e - painful ear nos,1
4576911000006110,on examination - painful ear,1
4576951000006110,on examination - ear auricle painful,1
477607011,ear pain,1
2696361000006110,referred otalgia,1
27089013,otalgia,1
2753831000006110,earache,1
2753851000006110,ear ache,1
299233011,unspecified otalgia,1
299234017,otalgia nos,1
883851000006112,otalgia - earache,1
253179013,unilateral earache,1
253180011,bilateral earache,1
253181010,irritation of ear,1
253182015,earache symptom nos,1
633981000006112,earache symptoms,1
