medcodeid,term,fatigue
102731000006113,tired all the time,1
1222479016,[d]lassitude,1
1719971000006110,limitation status: unfit strenuous physical exertion,1
1719981000006110,unfit strenuous physical exertion,1
195091000006116,pvfs - postviral fatigue syn,1
217451000006111,post-viral fatigue syndrome,1
252288017,tiredness symptom nos,1
2718651000006110,general weakness,1
2718681000006110,weakness,1
2718701000006110,feeling weak,1
2925111000006110,muscle strength reduced,1
2925121000006110,decreased muscle strength,1
298141000006116,[d]general weakness,1
301351000006117,[d]post viral debility,1
317063014,[d]malaise and fatigue,1
317065019,[d]fatigue,1
317066018,[d]asthenia nos,1
317067010,[d]lethargy,1
317068017,[d]postviral (asthenic) syndrome,1
317069013,[d]tiredness,1
317071013,[d]malaise and fatigue nos,1
3354461000006110,benign myalgic encephalomyelitis,1
3354471000006110,myalgic encephalomyelitis syndrome,1
3354511000006110,myalgic encephalitis,1
3354521000006110,myalgic encephalopathy,1
3476351000006110,worn out,1
3476361000006110,washed out,1
386731000006116,[x]fatigue syndrome,1
3870351000006110,weariness,1
397878014,tiredness symptom,1
397879018,tired all the time,1
406378013,"[d]debility, unspecified",1
4875741000006110,lethargic,1
4875751000006110,lack of vitality,1
496410014,me - myalgic encephalomyelitis,1
496412018,postviral fatigue syndrome,1
496413011,myalgic encephalomyelitis,1
496414017,cfs - chronic fatigue syndrome,1
5497711000006110,tatt - tired all the time,1
650691000006112,excessive exertion exhaustion,1
667321000006111,fatigue,1
684221000006112,myalgic encephalomyelitis,1
730581000006116,malaise/lethargy,1
742301000000113,severe chronic fatigue syndrome,1
742321000000116,moderate chronic fatigue syndrome,1
742341000000111,mild chronic fatigue syndrome,1
747481000006115,lethargy - symptom,1
87704019,chronic fatigue syndrome,1
899871000006116,overexertion exhaustion,1
959231000006115,somatic complaints/fatigue,1
961711000006114,lethargic,1
99879014,exhaustion,1
