medcodeid,term,fever
11905651000006100,[d]persistent fever,1
1212347010,feels hot/feverish,1
1212349013,fever with sweating,1
1222470017,[d]pyrexial convulsion,1
1222475010,[d]fever of unknown origin,1
12449841000006100,o/e - pyrexia - ? cause,1
12453571000006100,o/e -pyrexia of unknown origin,1
1817021000006110,[d]other specified fever,1
1831721000006110,o/e - temperature discrimination abnormal,1
195721000006116,pyrexia symptoms,1
195731000006118,pyrexial cold,1
216652015,feverish cold,1
216653013,cough with fever,1
254821019,o/e - febrile convulsion,1
254879019,o/e -skin temperature abnormal,1
255717010,o/e - fever - general,1
255720019,o/e -pyrexia of unknown origin,1
255721015,o/e - pyrexia - ? cause,1
255722010,o/e - fever - general nos,1
255737014,o/e - temperature low,1
255739012,o/e - temperature elevated,1
255744017,o/e - fever - acute rise,1
255745016,o/e - fever - gradual rise,1
255746015,o/e - fever - continuous,1
255749010,o/e - fever - remittent,1
255750010,o/e - fever - intermittent,1
255751014,o/e - staircase fever,1
255752019,o/e - fever - irregular,1
255753012,o/e - fever - fast fall-crisis,1
255754018,o/e - fever-gradual fall-lysis,1
255755017,o/e - fever character nos,1
255756016,o/e - fever nos,1
2577732019,relapsing fever,1
2619511000006110,puo - pyrexia of unknown origin,1
287181016,relapsing fever nos,1
288098015,"[x]relapsing fever, unspecified",1
317055013,[d]pyrexia of unknown origin,1
317058010,[d]chills with fever,1
317060012,[d]fever nos,1
317061011,[d]persistent fever,1
317062016,[d]pyrexia of unknown origin nos,1
3382421000006110,three day fever,1
3758611000006110,seven day fever,1
3837071000006110,five day fever,1
402544017,examination of fever,1
406895013,o/e - fever,1
4566981000006110,on examination - skin temperature abnormal,1
4578021000006110,on examination - fever - general,1
4578081000006110,o/e - pyrexia of unknown origin,1
4578111000006110,o/e - pyrexia of unknown cause,1
4578121000006110,on examination - pyrexia of unknown origin,1
4578271000006110,on examination - level of fever,1
4578351000006110,on examination - temperature elevated,1
4578421000006110,on examination - fever - acute rise,1
4578441000006110,on examination - fever - gradual rise,1
4578461000006110,on examination - fever - continuous,1
4578491000006110,on examination - fever - remittent,1
4578511000006110,on examination - fever - intermittent,1
4578531000006110,on examination - staircase fever,1
4578551000006110,on examination - fever - irregular,1
4578571000006110,on examination - fever - fast fall-crisis,1
4578591000006110,on examination - fever-gradual fall-lysis,1
5530901000006110,on examination - fever,1
5564901000006110,fever with chills,1
5564911000006110,chills and fever,1
5564921000006110,fever with rigors,1
6459011000006110,pyrexial,1
6459031000006110,febrile,1
672461000006117,fever symptoms,1
6947911000006110,recurrent fever,1
854501000006117,rheumatic fever,1
981661000006117,fever,1
982701000006116,pyrexia,1
2619501000006110,f.u.o.,1
