medcodeid,term,joint_pain
11902261000006100,metacarpophalangeal joint pain,1
11902271000006100,first metatarsophalangeal joint pain,1
11902291000006100,interphalangeal joint of toe pain,1
11902301000006100,proximal interphalangeal joint of finger pain,1
11902311000006100,sacroiliac joint pain,1
11902321000006100,subtalar joint pain,1
11902331000006100,talonavicular joint pain,1
11931981000006100,multiple joint pain,1
1228298012,arthralgia of multiple joints,1
1230691015,arthralgia of hip,1
12725101000006100,arthralgia of other specified site,1
12728561000006100,arthralgia nos,1
1480387016,temporomandibular joint-pain-dysfunction syndrome,1
1892761000006110,shoulder joint painful on movement,1
1892771000006110,shoulder joint painful on external rotation,1
198184013,hip joint pain,1
2364511000000110,shoulder joint painful on external rotation,1
248581000006113,pain in joint - arthralgia,1
256029019,o/e - joint movement painful,1
3074511000006110,polyarthralgia,1
310792015,arthralgia of unspecified site,1
310802015,arthralgia of the hand,1
310803013,hand joint pain,1
310815012,arthralgia of other specified site,1
310818014,arthralgia of sternoclavicular joint,1
310819018,arthralgia of acromioclavicular joint,1
310821011,elbow joint pain,1
310822016,arthralgia of elbow,1
310825019,wrist joint pain,1
310826018,arthralgia of wrist,1
310839019,arthralgia of ankle,1
310840017,ankle joint pain,1
310842013,arthralgia of subtalar joint,1
310846011,arthralgia of talonavicular joint,1
310847019,arthralgia of other tarsal joint,1
310855014,arthralgia nos,1
3437291000006110,painful joint,1
3437301000006110,articular pain,1
400244011,shoulder joint pain,1
400245012,arthralgia of the shoulder region,1
400246013,arthralgia of shoulder,1
400247016,arthralgia of the upper arm,1
400248014,arthralgia of the forearm,1
400249018,arthralgia of the pelvic region and thigh,1
400250018,arthralgia of the lower leg,1
400251019,arthralgia of the ankle and foot,1
439693015,shoulder joint painful on movement,1
4581741000006110,on examination - joint movement painful,1
4814031000006110,sternoclavicular joint pain,1
4814051000006110,acromioclavicular joint pain,1
4814091000006110,distal radioulnar joint pain,1
4814101000006110,arthralgia of distal radioulnar joint,1
4814171000006110,distal interphalangeal joint of finger pain,1
4814211000006110,tibiofibular joint pain,1
4814221000006110,arthralgia of tibiofibular joint,1
4814321000006110,lesser metatarsophalangeal joint pain,1
484753013,arthralgia of knee,1
484754019,knee joint pain,1
486238018,multiple joint pain,1
491791000006117,arthralgia of 1st mtp joint,1
491821000006114,arthralgia of dip joint of finger,1
491831000006112,arthralgia of distal radio-ulnar joint,1
491861000006115,arthralgia of ip joint of toe,1
491881000006113,arthralgia of lesser mtp joint,1
491891000006111,arthralgia of mcp joint,1
491931000006119,arthralgia of pip joint of finger,1
491941000006112,arthralgia of sacro-iliac joint,1
492061000006117,arthralgia of tibio-fibular joint,1
5243201000006110,facet joint pain,1
5502581000006110,ankle and/or foot joint pain,1
599131000006110,coxalgia,1
637511000006115,elbow joint pain,1
6451571000006110,temporomandibular joint-pain-dysfunction syndrome,1
6451641000006110,tmjpds - temporomandibular joint pain dysfunction syndrome,1
742361000006117,irritable hip,1
890661000006115,painful shoulder,1
890671000006110,ankle/foot joint pain,1
890681000006113,other joint pain,1
890701000006111,joint pain nos,1
932721000006115,pain in joint - coxalgia,1
991491000006111,joint pain nos,1
1491483014,costen's syndrome,1
1816911000006110,irritable hip,1
2999711000006110,gonalgia,1
310911019,other joint symptoms of the shoulder region,1
310932010,other symptoms - elbow,1
310938014,other symptoms - hip,1
369383014,facet joint syndrome,1
400260010,other joint symptoms of unspecified site,1
400262019,other joint symptoms of the lower leg,1
400263012,other joint symptoms of the ankle and foot,1
443295011,irritable hip,1
452701000006110,ache in joint,1
51875014,knee pain,1
6451581000006110,tmj syndrome,1
6451601000006110,mandibular dysfunction,1
6451611000006110,costen's complex,1
6451631000006110,snapping jaw,1
6451651000006110,myofascial pain - dysfunction syndrome of tmj,1
693501000006115,musculoskeletal pain - joints,1
745601000006117,irritable hip,1
81981010,coxalgia,1
81982015,hip pain,1
890651000006117,pain in joint - coxalgia,1
11790051000006100,gtps - greater trochanteric pain syndrome,1
123425013,pain in elbow,1
123426014,elbow pain,1
12483171000006100,c/o - pain in toes,1
135489010,neck pain,1
140741000006112,shoulder pain,1
150521017,pain in limb,1
1573621000006110,non-mechanical back pain,1
1573941000006110,thoracic back pain,1
165844010,arm pain,1
1682431000006110,wrist pain,1
215271000000119,cervicalgia - pain in neck,1
21633013,bone pain,1
221721000000116,thumb pain,1
221731000000119,pain in leg,1
248531000006112,pain in arm,1
248721000006117,pain on stressing lateral collateral ligament,1
248731000006119,pain on stressing medial collateral ligament,1
252313017,back pain worse on sneezing,1
252314011,c/o - low back pain,1
252315012,back pain without radiation nos,1
255627014,o/e - pain over mastoid,1
2579112017,c/o - lumbar pain,1
2622041000006110,gtps - greater trochanteric pain syndrome,1
2799671000006110,pain in finger,1
297707010,pain in lower limb,1
3060241000006110,pain in the coccyx,1
312237015,bony pelvic pain,1
312238013,clavicle pain,1
317144010,[d]growing pains - limbs,1
317145011,[d]musculoskeletal pain,1
31828016,finger pain,1
3231261000006110,shoulder region pain,1
3360341000006110,painful hand,1
345241000000114,pain in coccyx,1
359208019,anterior knee pain,1
369379014,acute back pain with sciatica,1
369388017,ankle pain,1
3828281000006110,painful neck,1
3828301000006110,nonspecific pain in the neck region,1
3828311000006110,cervical pain,1
3976181000006110,limb pain,1
400283013,pain in thoracic spine,1
400284019,pain in lumbar spine,1
4076891000006110,pain of upper limb,1
415888015,chronic low back pain,1
415893017,acute back pain - lumbar,1
416128012,pain in cervical spine,1
416139010,low back pain,1
416146018,mechanical low back pain,1
424342012,toe pain,1
437698016,rib pain,1
442649019,pain of head and neck region,1
443831012,[d]jaw pain,1
454068014,c/o - pain in toes,1
454069018,c/o - pain in hallux,1
454070017,c/o - pain in big toe,1
4545121000006110,pain in back,1
4545181000006110,complaining of low back pain,1
455771000006114,acute back pain - disc,1
455791000006110,acute back pain - thoracic,1
455801000006111,acute back pain - unspecified,1
4576981000006110,on examination - pain over mastoid,1
483791000006115,ankle pain,1
486291000006115,anterior knee pain,1
494960013,foot pain,1
496539011,hand pain,1
501991000006110,"back pain, unspecified",1
5138591000006110,akp - anterior knee pain,1
5565171000006110,pain of jaw,1
5618331000006110,clbp - chronic low back pain,1
5620681000006110,lbp - low back pain,1
5620721000006110,lumbar pain,1
5620731000006110,nonspecific pain in the lumbar region,1
5700371000006110,pain in toe,1
5721831000006110,pain in left lower limb,1
5721841000006110,pain in left leg,1
5721851000006110,pain in right lower limb,1
5721861000006110,pain in right leg,1
5730821000006110,pain in limb - multiple,1
5887111000006110,pain in axilla,1
6000451000006110,c/o - pain in toe,1
6000471000006110,complaining of pain in toe,1
6000501000006110,complaining of pain in hallux,1
6567871000006110,locomotor pain disorder,1
6567881000006110,musculoskeletal pain disorder,1
7299721000006110,pain in forearm,1
75568012,shoulder pain,1
764321000006112,foot pain,1
764331000006110,foot pain,1
816931000006119,has eye pain,1
853731000006117,painful right knee,1
853861000006116,painful left arm,1
853951000006110,painful elbow,1
891871000006117,pain in limb nos,1
891881000006119,pain in right leg,1
891891000006116,pain in left leg,1
891901000006117,pain in right arm,1
891911000006119,pain in left arm,1
891921000006110,pain in limb - multiple,1
939721000006113,bone pain present,1
939751000006116,musculoskeletal pain present,1
939761000006119,musculoskeletal pain mild,1
939771000006114,musculoskeletal pain moderate,1
939781000006112,musculoskeletal pain severe,1
939791000006110,musculoskeletal pain very severe,1
94135011,pain in wrist,1
990201000006110,pain in left arm,1
990211000006113,pain in right arm,1
990221000006117,pain in left leg,1
990231000006119,pain in right leg,1
13682017,trochanteric bursitis,1
252311015,backache,1
252317016,backache symptom nos,1
2700291000006110,osteodynia,1
3060261000006110,coccyalgia,1
3060271000006110,coccydynia,1
3060281000006110,coccygalgia,1
3060291000006110,coccyodynia,1
311325017,supraspinatus tendinitis,1
311380012,metatarsalgia nos,1
3828321000006110,neck ache,1
400286017,"backache, unspecified",1
4545111000006110,back ache,1
502061000006113,backache symptom,1
