medcodeid,cleansedreadcode,term,nausea
2478737017,1983,morning nausea,1
1777091000006110,,reason for referral: vomiting/nausea,1
252604010,198Z.00,nausea nos,1
317456018,R070.00,[d]nausea and vomiting,1
317457010,R070000,[d]nausea,1
317462011,R070z00,[d]nausea and vomiting nos,1
531181000006118,198..11,c/o - nausea,1
681151000006114,198..12,nausea symptoms,1
2768801000006110,,n+v - nausea and vomiting,1
6992341000006110,,observation of nausea,1
6992361000006110,,nauseated,1
960221000006119,,nausea/vomiting,1
2643930014,198..00,nausea,1
252600018,1982,nausea present,1
2768791000006110,,n&v - nausea and vomiting,1
