medcodeid,term,neuropathic_pain
166500011,thoracic nerve root pain,1
1786636013,painful tongue,1
1978751000006110,persistent neuropathic pain,1
2758011000006110,paroxysmal nerve pain,1
369417015,neuropathic pain,1
5243541000006110,painful response to non-painful stimulus,1
544001000006112,cervical root pain,1
939681000006118,nerve root pain present,1
135491019,cervicalgia,1
1682441000006110,cervicalgia,1
2536776010,causalgia,1
2542381000006110,talalgia,1
311705018,"neuralgia, neuritis and radiculitis unspecified",1
311706017,neuralgia unspecified,1
400315011,"neuralgia, neuritis or radiculitis nos",1
891861000006112,neuralgia/neuritis - nos,1
