medcodeid,term,palpitation
4545591000006110,palpitations - bumping,1
291811000006119,'bumping' of heart,1
4545611000006110,palpitations - fluttering,1
217671000000110,fluttering of heart,1
291831000006113,'fluttering' of heart,1
2978181000006110,ectopics,1
300155019,ectopic beats nos,1
49718019,extrasystoles,1
3037541000006110,ectopic rhythm abnormality,1
395770011,ectopic beats unspecified,1
884381000006112,ectopic beats/extrasystoles,1
55752016,ectopic beats,1
214431000006114,premature beats,1
6219971000006110,irregular heart beat,1
371151012,heart beats irregular,1
1230146013,cardiac dysrhythmias,1
300170018,cardiac dysrhythmia nos,1
7506471000006110,disorder of heart rhythm,1
1230147016,cardiac arrhythmias,1
7506451000006110,arrhythmia,1
300169019,other cardiac dysrhythmia nos,1
395771010,other cardiac dysrhythmias,1
300924012,[x]other specified cardiac arrhythmias,1
249291000006117,palpitations,1
252443016,palpitations nos,1
317330014,[d]palpitations nos,1
317328012,[d]palpitations,1
133268018,palpitations,1
2183221000000110,suspected arrhythmia,1
960141000006117,irregular heart rate,1
